key,type,project,time
YARN-1903,comments,YARN,6
YARN-3197,description,YARN,31
YARN-4347,description,YARN,0
YARN-2010,comments,YARN,188
YARN-8108,comments,YARN,84
YARN-241,description,YARN,227
YARN-2790,description,YARN,1
YARN-1692,description,YARN,5
YARN-4392,description,YARN,12
YARN-44,comments,YARN,907
YARN-7697,description,YARN,39
YARN-7382,description,YARN,0
YARN-1094,description,YARN,1
YARN-4916,comments,YARN,2
YARN-7269,comments,YARN,15
YARN-6643,description,YARN,0
YARN-152,description,YARN,328
YARN-7249,description,YARN,186
YARN-4598,description,YARN,7
YARN-4127,comments,YARN,56
YARN-871,comments,YARN,11
YARN-1149,description,YARN,29
YARN-4424,description,YARN,3
YARN-1919,comments,YARN,133
YARN-4326,description,YARN,0
YARN-5521,comments,YARN,0
YARN-7818,description,YARN,98
YARN-298,description,YARN,167
YARN-1866,comments,YARN,0
